index,0,1,2
19,"[0.         0.02898032 0.03413238 0.         0.         0.4905841
 0.03692129 0.40938191 0.        ]","[0.         0.         0.01652924 0.         0.         0.
 0.45217391 0.52759755 0.00369931]","[0.03771044 0.01661467 0.         0.04682428 0.         0.30609943
 0.18143278 0.4113184  0.        ]"
20,"[0.01040113 0.00417088 0.02146264 0.         0.25183606 0.2428533
 0.08293777 0.20455132 0.18178691]","[0.06079986 0.00135747 0.03076923 0.01348651 0.06153846 0.35871278
 0.47333569 0.         0.        ]","[0.09592277 0.06392045 0.03745988 0.         0.07833034 0.14425684
 0.51956791 0.04200487 0.01853693]"
21,"[0.14108753 0.02576029 0.00515206 0.01288014 0.06399069 0.51670379
 0.19792297 0.03220036 0.00430217]","[0.00969619 0.05235941 0.01745314 0.00747992 0.         0.00141035
 0.29504109 0.47588377 0.14067614]","[0.02701689 0.00721252 0.00074495 0.03971943 0.         0.04444519
 0.34341512 0.50878281 0.02866309]"
22,"[0.11901748 0.02382826 0.00193202 0.         0.62287522 0.00128801
 0.16706303 0.03576717 0.0282288 ]","[0.         0.         0.03490627 0.         0.         0.02855968
 0.15719212 0.7593955  0.01994644]","[0.08111096 0.         0.07429644 0.03131084 0.15132019 0.22812238
 0.18031761 0.25352158 0.        ]"
23,"[0.05503274 0.09670465 0.01160059 0.00844278 0.08634902 0.18195018
 0.         0.30579245 0.25412758]","[0.00000000e+00 7.27272727e-04 0.00000000e+00 3.92727273e-02
 4.58181818e-02 8.08941376e-01 6.49350649e-03 6.44155844e-02
 3.43313509e-02]","[0.13445112 0.         0.00466966 0.03049131 0.0436793  0.1373465
 0.43891091 0.16053767 0.04991352]"
24,"[0.05818182 0.01904762 0.01904762 0.04802103 0.23289667 0.00197897
 0.09480519 0.52602108 0.        ]","[0.02463462 0.         0.11678635 0.04790065 0.04926924 0.50415272
 0.21449294 0.04276348 0.        ]","[0.11623817 0.02286807 0.05602648 0.00982432 0.01235074 0.33701826
 0.16312842 0.236435   0.04611055]"
25,"[0.02923189 0.         0.03174603 0.         0.00119942 0.64324324
 0.03524476 0.25933466 0.        ]","[0.03793344 0.05109403 0.00851567 0.07717327 0.07809258 0.03803875
 0.6000837  0.10906856 0.        ]","[0.04062644 0.01477486 0.06626104 0.02532833 0.01709662 0.21175969
 0.29989516 0.32045862 0.00379925]"
26,"[0.06056591 0.02855914 0.         0.         0.04079194 0.08164868
 0.72646607 0.01752381 0.04444444]","[0.         0.         0.06015415 0.         0.04108098 0.53137063
 0.15961299 0.16687217 0.04090909]","[0.1684963  0.04479216 0.05859365 0.0484844  0.06406321 0.09804888
 0.35293174 0.16458965 0.        ]"
27,"[0.1038961  0.05317558 0.0547091  0.06471311 0.03839286 0.03848646
 0.29605632 0.30021178 0.05035869]","[0.         0.         0.         0.02832912 0.         0.5597169
 0.18639205 0.20191887 0.02364307]","[0.19026481 0.         0.04998907 0.03765896 0.00540865 0.59294091
 0.05654502 0.06719257 0.        ]"
28,"[0.         0.06679035 0.         0.         0.01298701 0.76303104
 0.03756957 0.06637527 0.05324675]","[0.         0.         0.07969303 0.         0.         0.14261364
 0.32754011 0.43853132 0.0116219 ]","[0.         0.         0.02858653 0.10165881 0.02623486 0.13341479
 0.2233158  0.4765774  0.01021182]"
29,"[0.04523332 0.         0.00421239 0.         0.0215938  0.34049731
 0.58786536 0.         0.00059782]","[0.         0.         0.01818182 0.0464876  0.09330144 0.
 0.05578512 0.7465746  0.03966942]","[0.36337602 0.04344358 0.04790115 0.01313629 0.06975806 0.12620103
 0.17757837 0.10078488 0.05782062]"
