0,1,2,3,4,5,6,7,8,9,10,11,12
Albania,1980,0.2964915513170797,-0.5617237523616643,-0.1046269724058007,-0.3711207041322421,-0.5250080492609821,-0.09002056013641692,0.5670043045051679,0.12637533982939242,-0.06713722074897063,-0.2591315059698735,-0.656978171417398
Albania,1981,0.2517811024330779,-0.5600404130282735,-0.0938846526425781,-0.3706258116096591,-0.5196599508477565,-0.15887795911670577,0.5773502186974413,0.039653960668506884,-0.1199463856851619,-0.1636025313851002,-0.687112853542776
Albania,1982,0.35014408997788216,-0.5586376302504478,-0.08144617712726766,-0.3703474345657062,-0.5183229262444501,-0.21714191210002767,0.5876961328897131,-0.03809624133780437,-0.13473295186729542,-0.13473096522471809,-0.6952626419570971
Albania,1983,0.35908617975468277,-0.5572348474726221,-0.07013847211334909,-0.3702391768263911,-0.5203284631494097,-0.27010914208486536,0.598042047081985,-0.11136085476682837,-0.1241711188800572,-0.07688660280153932,-0.7149156170426884
Albania,1984,0.34120200020108193,-0.5555515081392312,-0.05883076709943051,-0.37036289995703686,-0.5250080492609821,-0.323076372069703,0.6187338754665302,-0.17864468342613615,-0.09459798651579007,-0.007762387170812967,-0.7387053529264648
Albania,1985,0.3054336410938803,-0.5535876122502752,-0.047523062085511936,-0.37019278065239897,-0.5256765615626353,-0.36545015605757303,0.6394257038510754,-0.23845253112329862,-0.06291248755407533,0.06192370210236248,-0.7620458549690223
Albania,1986,0.18918647399547506,-0.5516237163613192,-0.030561504564634072,-0.3696514919558238,-0.5203284631494097,-0.4025272170469596,0.6601175322356206,-0.2922795940507449,0.019469809746383075,0.16089697707020983,-0.7950644646577775
Albania,1987,0.2517811024330779,-0.5493792639167981,-0.013599947043756212,-0.3697288189124774,-0.5243395369593289,-0.4396042780363457,0.6601175322356206,-0.3386306760160457,0.05115530870809782,0.17440742867376985,-0.7976416387581013
Albania,1988,0.15341811488827345,-0.5471348114722769,0.003361610477121649,-0.36986800743445386,-0.5290191230709014,-0.4660878930287646,0.6808093606201658,-0.37750577701920135,0.011020343356592464,0.25301515144138254,-0.8216368107736698
Albania,1989,0.8687852970323052,-0.5457320286944513,0.014669315491040223,-0.3688936877806186,-0.5196599508477565,-0.49786823101966726,0.711847103196983,-0.4118952894450698,-0.09459798651579007,0.022214808937098502,-0.7333521088328319
Albania,1990,0.07293930689707,-0.5448903590277558,0.02032316799799951,-0.3699453343911075,-0.5357042460874334,-0.5349452920090538,0.7325389315815282,-0.43880882090879286,-0.2509131147269163,0.36956847983413676,-0.8525361677569164
Albania,1991,-2.0758448664680658,-0.5448903590277558,0.02032316799799951,-0.3728682933526133,-0.5738094472816657,-0.49786823101966726,0.7325389315815282,-0.464227156180087,-6.765451701255471,1.283724087560103,-1.0342892290034356
Albania,1992,-2.0785274934011055,-0.5460125852500164,0.009015462984080937,-0.37337865126652703,-0.5798260579965445,-0.4660878930287646,0.7325389315815282,-0.48515990287409383,-2.5174824737882453,1.2155167878285904,-1.1161732545267242
Albania,1993,-2.0821043293118255,-0.5474153680278421,-0.002292242029837638,-0.3727600356132983,-0.571135398075053,-0.4449010010348296,0.7325389315815282,-0.5060926495681006,0.8982143142846059,1.169758085223902,-1.1837184486724581
Albania,1994,-2.085681165222546,-0.5488181508056678,-0.007946094536796925,-0.37215688535140024,-0.5624447381535613,-0.42371410904089457,0.7428848457738,-0.5255302000696784,0.5919211576546963,1.1807936873170624,-1.183808545707076
Albania,1995,-2.089258001133266,-0.5496598204723633,-0.0192537995507155,-0.3711361695235728,-0.5484059798188442,-0.40782394004544303,0.7532307599660719,-0.5449677505712562,1.7051383545096082,1.175586934350612,-1.2102848570460305
Albania,1996,-2.092834837043986,-0.5502209335834936,-0.0192537995507155,-0.3703474345657062,-0.5363727583890865,-0.46079117003028075,0.7739225883506171,-0.5659004972652631,0.9573605790131399,1.2341980370212413,-1.2098837358598629
Albania,1997,-2.095517463977026,-0.5502209335834936,-0.0192537995507155,-0.3713836157848643,-0.5497430044221505,-0.5137584000151184,0.5876961328897131,-0.58683324395927,-3.005439157798653,1.2360887527839781,-1.1201594312294074
Albania,1998,-2.0990942998877467,-0.5499403770279284,-0.0192537995507155,-0.3706103462183284,-0.5383782952940461,-0.5561321840029888,0.7739225883506171,-0.6077659906532769,1.8318803503564673,1.2850417409753068,-1.2448715194277606
Albania,1999,-2.1026711357984667,-0.5493792639167981,-0.013599947043756212,-0.36937311491187086,-0.5203284631494097,-0.5985059679908588,0.7842685025428904,-0.6272035411548547,1.3164629005792403,1.3338704250744877,-1.2444129211244086
Albania,2000,-2.1062479717091867,-0.5493792639167981,-0.013599947043756212,-0.36867717230198854,-0.5096322663229585,-0.6514731979756965,0.7842685025428904,-0.6481362878488616,0.7672475852428513,1.3801263244811386,-1.2442067523085838
Albania,2001,-2.375404873990879,-0.5493792639167981,-0.013599947043756212,-0.36778017960480686,-0.4955935079882413,-0.6991437049620504,0.7946144167351623,-0.6660786421580103,0.7947083510096707,1.524858863849562,-1.291681122718653
Albania,2002,-1.8048995462310133,-0.5493792639167981,-0.013599947043756212,-0.3672698216908931,-0.4882398726700561,-0.7574076579453719,0.7946144167351623,-0.6855161926595881,0.032144009331068896,1.3490245763206918,-1.2082088517972278
Albania,2003,-1.8710710105793364,-0.5496598204723633,-0.013599947043756212,-0.36655841368968006,-0.4768751635419517,-0.8209683339271773,0.8049603309274341,-0.7019633507763078,0.6130448236291729,1.411837743915648,-1.239107551533092
