index,0,1,2
18,"[0.         0.00857143 0.00892857 0.         0.         0.09883625
 0.48490413 0.32695512 0.07180451]","[0.         0.01267544 0.0021875  0.095      0.08627171 0.226875
 0.12919603 0.39007517 0.05771916]","[0.00396825 0.00706116 0.06535948 0.         0.         0.01121795
 0.00694444 0.90544872 0.        ]"
19,"[0.         0.04212856 0.         0.01150895 0.04910486 0.
 0.03871193 0.8585457  0.        ]","[0.00290557 0.00830163 0.02490488 0.04889179 0.06089732 0.06226219
 0.44425737 0.34639332 0.00118595]","[0.         0.03993658 0.02083333 0.         0.         0.51886792
 0.01041667 0.4036955  0.00625   ]"
20,"[0.12519785 0.         0.         0.05063939 0.73711968 0.
 0.         0.07967736 0.00736573]","[0.02217877 0.0297931  0.         0.02470311 0.21487467 0.01751485
 0.56325076 0.12768473 0.        ]","[0.02956091 0.03667549 0.00187867 0.         0.00704501 0.00915756
 0.04861057 0.86497065 0.00210114]"
21,"[0.05204754 0.01052247 0.00175374 0.13001745 0.1712532  0.42716195
 0.20724365 0.         0.        ]","[0.04758795 0.02475345 0.00140726 0.00154799 0.05201238 0.03004397
 0.61750767 0.20656347 0.01857585]","[0.         0.         0.04821712 0.05677027 0.01018886 0.03577107
 0.27484102 0.57421166 0.        ]"
22,"[0.         0.00345269 0.04061983 0.         0.86913788 0.0483376
 0.03845201 0.         0.        ]","[0.01143129 0.         0.02041302 0.00464396 0.34431239 0.09451168
 0.35542626 0.15811588 0.01114551]","[0.03494736 0.         0.02146264 0.02146264 0.         0.37487552
 0.13453458 0.3841004  0.02861685]"
23,"[0.02946292 0.03774222 0.         0.02491349 0.64940694 0.19885741
 0.         0.02533769 0.03427932]","[0.0062069  0.04809482 0.05458075 0.26318672 0.12644335 0.2664984
 0.10554528 0.06942857 0.06001521]","[0.31607042 0.01268102 0.         0.         0.03748614 0.07385451
 0.31772751 0.20942111 0.0327593 ]"
24,"[0.         0.03397765 0.         0.         0.88842975 0.
 0.03002389 0.04756871 0.        ]","[0.05865485 0.01981424 0.         0.01658558 0.33031591 0.23466435
 0.25857802 0.05727554 0.02411151]","[0.02113503 0.05836133 0.0018317  0.         0.         0.42500512
 0.44165807 0.0203062  0.03170254]"
25,"[0.         0.00255682 0.         0.00306818 0.84392967 0.1044226
 0.04602273 0.         0.        ]","[0.03021318 0.         0.         0.11091027 0.06329331 0.06581415
 0.21312605 0.48576824 0.03087479]","[0.         0.06052986 0.         0.         0.         0.03583581
 0.84022924 0.03623148 0.02717361]"
26,"[0.00998992 0.         0.         0.03140113 0.14727273 0.01840909
 0.68040673 0.         0.11252041]","[0.         0.00192466 0.05668294 0.         0.03261456 0.34227535
 0.11391539 0.30651882 0.14606829]","[0.07786591 0.03170254 0.03693016 0.         0.         0.05328918
 0.47153142 0.29697824 0.03170254]"
27,"[0.0715     0.05795455 0.05113636 0.         0.3611014  0.23937662
 0.         0.2073853  0.01154577]","[0.03376269 0.         0.01182992 0.07277628 0.1388282  0.27917042
 0.35199577 0.         0.11163672]","[0.15812133 0.04714584 0.00792564 0.03099804 0.01144814 0.47832978
 0.14938623 0.116645   0.        ]"
28,"[0.08309659 0.07827797 0.         0.15703657 0.         0.18875193
 0.         0.49283694 0.        ]","[0.02034569 0.         0.05178297 0.         0.10929674 0.05422367
 0.58725405 0.14289711 0.03419976]","[0.         0.         0.         0.         0.         0.07514677
 0.44526485 0.47958838 0.        ]"
29,"[0.05139816 0.         0.04790065 0.15853048 0.57209279 0.01779167
 0.10970789 0.         0.04257836]","[0.12487988 0.01142367 0.01742094 0.07344468 0.11183613 0.04025258
 0.59204199 0.0040003  0.02469983]","[0.10784472 0.         0.         0.06666667 0.         0.58477391
 0.11216216 0.12855254 0.        ]"
30,"[0.         0.         0.         0.         0.68227471 0.
 0.06067416 0.25705114 0.        ]","[0.01975986 0.00641554 0.         0.04086699 0.13423578 0.22941675
 0.38157897 0.13500148 0.05272463]","[0.02934028 0.         0.02986111 0.         0.05858926 0.15136243
 0.33302083 0.39782609 0.        ]"
