0,1,2,3,4,5,6,7,8,9,10,11,12
Albania,1980,0.2965358401441722,-0.5618076606080599,-0.10464260120152694,-0.37117614079012573,-0.5250864730494936,-0.0900340070795252,0.5670890015411929,0.12639421731696218,-0.06714724946226136,-0.2591702140895808,-0.6570763084216555
Albania,1981,0.25181871257630556,-0.5601240698235759,-0.09389867678973862,-0.3706811743423018,-0.5197375757568233,-0.15890169172705795,0.5774364611684129,0.03965988403259548,-0.11996430283899796,-0.16362696973483376,-0.6872154919560063
Albania,1982,0.3501963932256125,-0.5587210775031726,-0.08145834326029947,-0.3704027557154008,-0.5184003514336557,-0.21717434796727855,0.5877839207956312,-0.0381019320154575,-0.13475307778448417,-0.1347510908451481,-0.6953664977560104
Albania,1983,0.3591398187391861,-0.5573180851827693,-0.07014894914262752,-0.37029448180493935,-0.5204061879184071,-0.2701494900038423,0.5981313804228497,-0.11137748944535353,-0.1241896671091369,-0.07689808784197882,-0.7150224085313763
Albania,1984,0.34125296771203933,-0.5556344943982854,-0.05883955502495557,-0.37041822341689534,-0.5250864730494936,-0.3231246320404061,0.6188262996772882,-0.17867136871770703,-0.09461211721816437,-0.007763546687910103,-0.7388156980391748
Albania,1985,0.3054792656577458,-0.5536703051497207,-0.04753016090728362,-0.37024807870045584,-0.5257550852110775,-0.3655047456696569,0.6395212189317265,-0.23848815029313236,-0.06292188519212243,0.06193295203924423,-0.7621596866008399
Albania,1986,0.1892147339812919,-0.5517061159011561,-0.03056606973077569,-0.36970670914814846,-0.5204061879184071,-0.40258734509525174,0.660216138186165,-0.2923232537110152,0.019472718075586707,0.16092101127410446,-0.7951832284891431
Albania,1987,0.25181871257630556,-0.5494613281885109,-0.013601978554267766,-0.36978404765562095,-0.5244178608879099,-0.4396699445208461,0.660216138186165,-0.33868125943196975,0.051162950101628656,0.17443348101967365,-0.797760787558339
Albania,1988,0.15344103192699837,-0.5472165404758655,0.0033621126222401596,-0.3699232569690714,-0.5290981460189964,-0.466157515539128,0.6809110574406034,-0.37756216745599624,0.011021989535308844,0.25305294592235317,-0.8217595438852304
Albania,1989,0.8689150730128682,-0.5458135481554623,0.01467150673991211,-0.3689487917749181,-0.5197375757568233,-0.49794260076106633,0.7119534363222603,-0.41195681686186586,-0.09461211721816437,0.022218127304276743,-0.7334616542974534
Albania,1990,0.07295020230483816,-0.5449717527632203,0.020326203798748086,-0.3700005954765439,-0.5357842676348344,-0.5350252001866611,0.7326483555766986,-0.43887436857080725,-0.25095059521330476,0.369623684626414,-0.8526635165017811
Albania,1991,-2.076154948606843,-0.5449717527632203,0.020326203798748086,-0.3729239910590039,-0.5738951608451108,-0.49794260076106633,0.7326483555766986,-0.46429650074036305,-6.766462299767532,1.2839158455845565,-1.03444372735802
Albania,1992,-2.078837976260915,-0.5460941466195429,0.009016809681076135,-0.3734344252083223,-0.5799126702993651,-0.466157515539128,0.7326483555766986,-0.4852323742917619,-2.5178585261428394,1.215698357295255,-1.1163399844185364
Albania,1993,-2.082415346466344,-0.5474971389399462,-0.0022925844365958153,-0.37281571714854245,-0.5712207121987757,-0.4449674587245026,0.7326483555766986,-0.5061682478431607,0.8983484862644837,1.1699328194223828,-1.1838952682191397
Albania,1994,-2.0859927166717736,-0.5489001312603495,-0.00794728149543179,-0.37221247679025704,-0.5625287540981864,-0.42377740190987717,0.7429958152039171,-0.5256087018551739,0.5920095766794115,1.180970069973554,-1.1839853787121242
Albania,1995,-2.089570086877203,-0.5497419266525915,-0.019256675613103742,-0.3711916084916202,-0.5484878987049265,-0.4078848592989078,0.7533432748311356,-0.5450491558671873,1.7053930618610191,1.175762539241327,-1.2104656449859479
Albania,1996,-2.0931474570826323,-0.5503031235807528,-0.019256675613103742,-0.3704027557154008,-0.5364528797964182,-0.46086000133547156,0.774038194085574,-0.5659850294185861,0.9575035860464289,1.2343823970248093,-1.21006446388176
Albania,1997,-2.0958304847367044,-0.5503031235807528,-0.019256675613103742,-0.3714390917155322,-0.5498251230280942,-0.5138351433720353,0.5877839207956312,-0.5869209029699849,-3.005888099343886,1.2362733952157743,-1.1203267565617643
Albania,1998,-2.0994078549421338,-0.5500225251166722,-0.019256675613103742,-0.3706657066408073,-0.5384587162811696,-0.5562152570012866,0.774038194085574,-0.6078567765213838,1.8321539899651873,1.2852336958260238,-1.245057473797221
Albania,1999,-2.102985225147563,-0.5494613281885109,-0.013601978554267766,-0.3694282905212475,-0.5204061879184071,-0.5985953706305375,0.7843856537127939,-0.6272972305333971,1.3166595490082378,1.3340696737760331,-1.2445988069901264
Albania,2000,-2.1065625953529925,-0.5494613281885109,-0.013601978554267766,-0.3687322439539951,-0.5097083933330663,-0.6515705126671012,0.7843856537127939,-0.648233104084796,0.767362193890177,1.380332482720314,-1.2443926073775555
Albania,2001,-2.375759703311551,-0.5494613281885109,-0.013601978554267766,-0.36783511726731427,-0.49566753793980656,-0.6992481405000085,0.7947331133400124,-0.6661781385574236,0.79482706164608,1.525086641707853,-1.2918740693360113
Albania,2002,-1.8051691555455698,-0.5494613281885109,-0.013601978554267766,-0.3673246831179958,-0.4883128041623848,-0.7575207967402288,0.7947331133400124,-0.6856185925694368,0.03214881088600341,1.3492260886941072,-1.2083893296310497
Albania,2003,-1.871350504346013,-0.5497419266525915,-0.013601978554267766,-0.36661316884924894,-0.47694639741546024,-0.8210909671841053,0.8050805729672309,-0.7020682075026787,0.6131363980301062,1.4120486390910567,-1.2392926449020407
