index,country,Date,population_growth_annual_percent.,population_total.,population_density_per_square_km.,total_gdp_us_inflation_adjusted.,gdppercapita_us_inflation_adjusted.,children_and_elderly_per_100_adults.,life_expectancy_years.,child_mortality_0_5_year_olds_dying_per_1000_born.,gdp_total_yearly_growth.
2715,South Korea,1998,-0.8911510680583714,0.6705807936341928,2.056017144979699,0.526507383144531,0.18297380606774793,-1.70577583919472,0.8775127903577645,-0.9099315234772818,-1.476306233553594
2716,South Korea,1999,-0.9009888361233022,0.6818047321974191,2.0786359332150433,0.6285942130082146,0.26989338707364163,-1.7216683818056895,0.9189026288666414,-0.91740862117421,1.2173634886599731
2717,South Korea,2000,-0.789196017203635,0.6930286707606454,2.095600024391551,0.7183068816763001,0.34344072484785937,-1.716370867602033,0.9499450077482983,-0.9248857188711381,0.6870802727575374
2718,South Korea,2001,-0.8509056532472912,0.7014466246830652,2.118218812626895,0.7678035264586921,0.3835574545428872,-1.726965896009346,0.9809873866299551,-0.9308673970286807,0.15679705685510187
2719,South Korea,2002,-1.019936395453828,0.7098645786054849,2.135182903803403,0.8528758846784283,0.45041867070126695,-1.726965896009346,1.022377225138832,-0.9368490751862232,1.0589123285297632
2720,South Korea,2003,-1.073596948535268,0.7182825325279047,2.1464922979210748,0.8899983682652223,0.4771631571646189,-1.726965896009346,1.0844619829021458,-0.9428307533437658,0.08496586426274001
2721,South Korea,2004,-1.1827067398008633,0.7238945018095179,2.1634563890975826,0.9518691742432123,0.5306521300913227,-1.7428584386203148,1.136199281038241,-0.9488124315013083,0.3004594420398254
2722,South Korea,2005,-1.3472657692506134,0.7295064710911311,2.1747657832152547,1.004459359324504,0.5774549814021885,-1.774643523842253,1.1879365791743361,-0.9547941096588508,0.02158540021065613
2723,South Korea,2006,-1.0673365506757668,0.7351184403727442,2.1860751773329268,1.0756107861991924,0.6309439543288923,-1.7693460096385967,1.2396738773104314,-0.9592803682770077,0.148346328314824
2724,South Korea,2007,-1.0852234017029136,0.7407304096543574,2.197384571450599,1.1544960638211295,0.6978051704872721,-1.7640484954349402,1.2810637158193083,-0.9652620464345503,0.3955301381179513
2725,South Korea,2008,-0.8580603936581499,0.7435363942951639,2.2030392685094347,1.1978056280057225,0.724549656950624,-1.7693460096385967,1.3121060947009653,-0.9697483050527071,-0.8953186464094913
2726,South Korea,2009,-1.07627997618934,0.7491483635767772,2.2143486626271067,1.21327332950022,0.724549656950624,-1.7905360664532222,1.353495933209842,-0.9727391441314784,-0.4719371465415707
2727,South Korea,2010,-1.091483799562415,0.7547603328583903,2.2256580567447783,1.306079538467205,0.8114692379565176,-1.817023637471504,1.374190852464279,-0.9757299832102497,0.7377846439992045
2728,Spain,1980,-0.8187093213984271,0.42365414524321315,-0.22961140620180204,0.6316877533071141,0.4972215220121328,-0.7045456547036649,0.8878602499849845,-0.815720092495987,-0.17489403835080408
2729,Spain,1981,-0.9009888361233022,0.43207209916563294,-0.22678405767238405,0.6301409831576643,0.49053540039629484,-0.7363307399256033,0.9085551692394215,-0.8321697074292288,-0.5520077994607033
2730,Spain,1982,-1.0002608593239664,0.4376840684472461,-0.22395670914296606,0.6425151443532623,0.4972215220121328,-0.7840083677585106,0.9499450077482983,-0.844133063744314,-0.28686619150948567
2731,Spain,1983,-1.1013215676273456,0.4432960377288593,-0.22169483031943163,0.6610763861466593,0.5105937652438087,-0.8316859955914179,0.9602924673755168,-0.8531055809806278,-0.13052771351434533
2732,Spain,1984,-1.165714231325074,0.44890800701047245,-0.21943295149589728,0.6796376279400563,0.5306521300913227,-0.8846611376279817,0.9809873866299551,-0.8635735177563272,-0.36292274837198635
2733,Spain,1985,-1.2131143865470126,0.451713991651279,-0.21773654237824644,0.7043859503312523,0.5507104949388366,-0.9323387654608893,0.991334846257175,-0.8710506154532554,-0.25095059521330476
2734,Spain,1986,-1.269457967282525,0.4573259609328922,-0.2166056029664793,0.7399616637685966,0.5908272246338645,-0.9853139074974532,1.012029765511612,-0.8770322936107978,0.00257126099503098
2735,Spain,1987,-1.3052316693368184,0.4601319455736988,-0.2154746635547121,0.8018324697465866,0.6510023191764063,-1.027694021126704,1.0327246847660505,-0.8830139717683404,0.49271351633114663
2736,Spain,1988,-1.3472657692506134,0.4601319455736988,-0.2143437241429449,0.8621565055751268,0.717863535334786,-1.0700741347559548,1.0430721443932705,-0.888995649925883,0.4377837808193406
2737,Spain,1989,-1.3964546095752668,0.46293793021450536,-0.2137782544370613,0.9209337712542173,0.7847247514931658,-1.112454248385206,1.0534196040204888,-0.8949773280834254,0.4039808666582292
2738,Spain,1990,-1.4456434498999202,0.46574391485531197,-0.2126473150252941,0.9704304160366093,0.8382137244198695,-1.1601318762181134,1.0637670636477072,-0.900959006240968,0.24552970652801934
2739,Spain,1991,-1.3088090395422478,0.4685498994961185,-0.2115163756135269,1.004459359324504,0.8716443324990594,-1.1972144756437082,1.0844619829021458,-0.9054452648591249,-0.13264039564941477
2740,Spain,1992,-1.0986385399732737,0.47135588413692514,-0.21038543620175967,1.0183802906695516,0.8783304541148974,-1.239594589272959,1.1051569021565841,-0.9114269430166675,-0.4535568119664664
2741,Spain,1993,-1.0727026059839107,0.4741618687777317,-0.2086890270841089,1.002912589175054,0.8515859676515455,-1.28197470290221,1.1258518214110225,-0.91740862117421,-0.857501636191748
2742,Spain,1994,-1.1111593356922762,0.4797738380593449,-0.20755808767234168,1.0369415324629485,0.8850165757307353,-1.3190573023278047,1.1465467406654608,-0.9263811384105238,-0.12841503137927582
2743,Spain,1995,-1.142461324989783,0.4825798227001515,-0.20586167855469092,1.0756107861991924,0.9184471838099253,-1.3402473591424302,1.1775891195471178,-0.933858236107452,-0.05024579238170562
2744,Spain,1996,-1.1639255462223592,0.4853858073409581,-0.2047307391429237,1.114280039935436,0.9518777918891151,-1.3614374159570555,1.198284038801556,-0.9413353338043802,-0.13052771351434533
2745,Spain,1997,-1.1621368611196445,0.48819179198176466,-0.20303433002527294,1.1668702250167275,1.0053667648158189,-1.3720324443643686,1.229326417683213,-0.945821592422537,0.175811196070727
2746,Spain,1998,-1.1666085738764314,0.4938037612633778,-0.20133792090762215,1.2287410309947175,1.0722279809741986,-1.377329958568025,1.2500213369376514,-0.9503078510406939,0.3279243097957284
2747,Spain,1999,-1.1746576568386473,0.499415730544991,-0.19851057237820416,1.306079538467205,1.1390891971325785,-1.3826274727716814,1.2707162561920884,-0.9532986901194651,0.40186818452315975
2748,Spain,2000,-1.137095269681639,0.5106396691082173,-0.19455228443701897,1.39888574743419,1.226008778138472,-1.3826274727716814,1.3017586350737467,-0.9562895291982365,0.594122258814481
2749,Spain,2001,-0.9161926594963768,0.5246695923122503,-0.188897587378183,1.4762242549066775,1.2928699942968518,-1.403817529586307,1.3328010139554036,-0.9577849487376221,0.33214967406586743
2750,Spain,2002,-0.27584339272452346,0.5415055001570898,-0.1821119509075798,1.52262735939017,1.3196144807602037,-1.4144125579936193,1.343148473582622,-0.9592803682770077,0.19271265315128275
2751,Spain,2003,0.08189362781841153,0.5611473926427359,-0.17476084473109305,1.58449816536816,1.3463589672235556,-1.4250075864009322,1.3638433928370606,-0.962271207355779,0.31313553485024226
2752,Spain,2004,0.010346223709824498,0.580789285128382,-0.16684426884872267,1.64636897134615,1.3731034536869076,-1.4356026148082452,1.384538312091499,-0.9637666268951646,0.353276495416562
2753,Spain,2005,-0.02542747834446902,0.5976251929732215,-0.15892769296635234,1.7237074788186375,1.4132201833819353,-1.4356026148082452,1.4155806909731559,-0.9667574659739359,0.4103189130634376
2754,Spain,2006,-0.02542747834446902,0.6172670854588677,-0.15101111708398193,1.801045986291125,1.4667091563086392,-1.4197100721972757,1.4466230698548126,-0.9697483050527071,0.175811196070727
2755,Spain,2007,0.11766732987270505,0.6369089779445137,-0.1436600109074952,1.89385219525811,1.5068258860036672,-1.403817529586307,1.4673179891092512,-0.9712437245920927,-0.031231653166080477
2756,Spain,2008,-0.10591830796662924,0.6537448857893532,-0.13687437443689202,1.9093198967526075,1.493453642771991,-1.3879249869753374,1.4983603679909079,-0.974234563670864,-0.553909213382266
2757,Spain,2009,-0.7444788896357681,0.6677748089933861,-0.13121967737805604,1.83198138928012,1.3998479401502595,-1.3667349301607121,1.5397502064997848,-0.9772254027496353,-1.3812355374754681
2758,Spain,2010,-1.1254688165139937,0.6761927629158059,-0.1278268591427545,1.83198138928012,1.3864756969185836,-1.3455448733460866,1.5604451257542231,-0.9802162418284066,-0.5925712964540372
